,City,Year,Origintime,Longitude,Latitude,Magnitude,Depth
1,Canterbury,2010,26/12/10 11:10,172.632,-43.53476,4,5.0551
2,Canterbury,2010,25/12/10 21:30,172.63196,-43.54797,4.7,5.0293
3,Canterbury,2010,25/12/10 13:32,172.63927,-43.53347,4.56,6.6561
4,Canterbury,2010,14/11/10 6:21,172.4153,-43.58379,4.4,10.7049
5,Canterbury,2010,13/11/10 12:34,172.41536,-43.58049,4.4,10.3896
6,Canterbury,2010,6/11/10 13:52,172.06467,-43.20951,4.6,8.262
7,Canterbury,2010,1/11/10 6:19,172.40678,-43.58623,4.2,8.0477
8,Canterbury,2010,24/10/10 2:13,172.72662,-43.45758,4.4,8.8592
9,Canterbury,2010,19/10/10 20:17,172.38089,-43.57414,4.1,8.8454
10,Canterbury,2010,18/10/10 22:32,172.5676,-43.59459,4.8,5
11,Canterbury,2010,17/10/10 20:28,172.41011,-43.57909,4.1,10.6705
12,Canterbury,2010,15/10/10 9:31,172.48593,-43.63902,4.3,7.908
13,Canterbury,2010,13/10/10 3:42,172.41307,-43.58989,4.3,10.3521
14,Canterbury,2010,7/10/10 17:17,172.36407,-43.71405,4,10.4969
15,Canterbury,2010,4/10/10 9:21,172.40314,-43.56266,4.8,10.3314
16,Canterbury,2010,29/09/10 20:39,172.36682,-43.6071,4.1,9.7299
17,Canterbury,2010,27/09/10 8:48,173.03496,-42.47861,4.1,9.6975
18,Canterbury,2010,24/09/10 21:22,172.39841,-43.59818,4,9.4829
19,Canterbury,2010,23/09/10 15:40,172.40497,-43.58224,4.2,11.0779
20,Canterbury,2010,22/09/10 18:22,172.42758,-43.56485,4.1,8.9834
21,Canterbury,2010,19/09/10 12:30,172.39018,-43.55953,4.2,8.4387
22,Canterbury,2010,17/09/10 22:03,172.39372,-43.58726,4.2,9.6229
23,Canterbury,2010,17/09/10 13:37,172.16057,-43.45932,4.1,6.6793
24,Canterbury,2010,16/09/10 12:08,171.93001,-43.5296,4.1,7.8975
25,Canterbury,2010,16/09/10 10:58,172.48387,-43.62374,4.2,8.2178
26,Canterbury,2010,16/09/10 10:56,172.48137,-43.62645,4,8.632
27,Canterbury,2010,15/09/10 15:13,172.49696,-43.62751,4,9.0591
28,Canterbury,2010,15/09/10 10:42,172.5217,-43.57969,4,9.6734
29,Canterbury,2010,14/09/10 12:36,172.39642,-43.57344,4,7.335
30,Canterbury,2010,13/09/10 21:12,172.33493,-43.59781,4.1,9.9226
31,Canterbury,2010,12/09/10 5:27,172.38864,-43.57585,4.2,8.2252
32,Canterbury,2010,11/09/10 18:03,172.39246,-43.64082,4.2,9.7135
33,Canterbury,2010,9/09/10 19:10,172.39915,-43.57545,4.2,9.0165
34,Canterbury,2010,9/09/10 0:38,171.89592,-43.32477,4.123,11.1123
35,Canterbury,2010,8/09/10 14:49,172.10887,-43.5862,4,9.3545
36,Canterbury,2010,8/09/10 2:50,172.41394,-43.55344,4,8.262
37,Canterbury,2010,7/09/10 21:01,172.38153,-43.55746,4,6.9385
38,Canterbury,2010,7/09/10 19:49,172.70235,-43.59204,4.7,7.4851
39,Canterbury,2010,7/09/10 19:42,172.40195,-43.57739,4.012,6.8551
40,Canterbury,2010,7/09/10 15:59,172.14282,-43.48438,4.3,8.7677
41,Canterbury,2010,7/09/10 12:41,172.4019,-43.56191,4.3,9.324
42,Canterbury,2010,6/09/10 15:24,172.22934,-43.64505,4.8,15.2834
43,Canterbury,2010,6/09/10 12:21,171.88638,-43.52766,4.2,9.4562
44,Canterbury,2010,6/09/10 11:40,171.85748,-43.57884,5,7.566
45,Canterbury,2010,6/09/10 11:25,172.38025,-43.56393,4.545,7.7294
46,Canterbury,2010,6/09/10 11:24,172.3801,-43.56865,4.8,8.5678
47,Canterbury,2010,6/09/10 6:01,172.38307,-43.56562,4.2,8.4823
48,Canterbury,2010,6/09/10 3:34,172.16875,-43.46275,4,5.6146
49,Canterbury,2010,6/09/10 3:07,172.394,-43.56371,4.1,9.8472
50,Canterbury,2010,6/09/10 0:35,172.27617,-43.56243,4.1,15.0139
51,Canterbury,2010,5/09/10 16:06,171.86331,-43.56293,4.2,8.6686
52,Canterbury,2010,5/09/10 9:07,172.24965,-43.59155,4.107,7.5701
53,Canterbury,2010,5/09/10 1:04,172.38203,-43.63087,4.5,7.4867
54,Canterbury,2010,4/09/10 21:46,172.42502,-43.60212,4,10.0671
55,Canterbury,2010,4/09/10 17:53,172.15138,-43.61697,4,7.0111
56,Canterbury,2010,4/09/10 17:28,172.15968,-43.61218,4.036,5
57,Canterbury,2010,4/09/10 17:20,172.14763,-43.6081,4.7,7.8282
58,Canterbury,2010,4/09/10 17:17,172.14874,-43.61818,4.3,8.4453
59,Canterbury,2010,4/09/10 16:23,172.07689,-43.58707,4,7.9415
60,Canterbury,2010,4/09/10 10:38,171.98711,-43.26196,4.6,8.4368
61,Canterbury,2010,4/09/10 10:34,172.37567,-43.59442,4,8.2441
62,Canterbury,2010,4/09/10 8:54,171.85664,-43.55848,4.3,9.3705
63,Canterbury,2010,4/09/10 7:07,172.3765,-43.56893,4.4,8.6373
64,Canterbury,2010,4/09/10 7:03,172.38042,-43.56866,4.3,6.235
65,Canterbury,2010,4/09/10 6:54,172.37794,-43.58241,4,8.1574
66,Canterbury,2010,4/09/10 6:40,172.32555,-43.7037,4.021,5
67,Canterbury,2010,4/09/10 4:55,171.9787,-43.54765,4.8,9.8039
68,Canterbury,2010,4/09/10 1:52,172.33606,-43.54554,4.1,8.2057
69,Canterbury,2010,4/09/10 0:58,172.15274,-43.47659,4.304,7.3002
70,Canterbury,2010,4/09/10 0:27,172.37651,-43.61646,4.202,5
71,Canterbury,2010,3/09/10 23:05,172.36118,-43.63866,4.127,5
72,Canterbury,2010,3/09/10 20:15,172.37065,-43.57023,4.4,5
73,Canterbury,2010,3/09/10 19:07,172.21689,-43.58671,4.6,15.4167
74,Canterbury,2010,3/09/10 18:33,172.37221,-43.62337,4.172,11.6033
75,Canterbury,2010,3/09/10 18:18,172.41998,-43.65785,4.208,8.3737
76,Canterbury,2010,3/09/10 18:17,171.95787,-43.52837,4.274,17.3945
77,Canterbury,2010,3/09/10 18:15,172.19292,-43.59906,4.132,5
78,Canterbury,2010,3/09/10 18:09,172.0088,-43.55745,4.131,6.6973
79,Canterbury,2010,3/09/10 18:04,172.52415,-43.55025,4.083,21.0848
80,Canterbury,2010,3/09/10 18:01,172.33322,-43.5995,4.416,8.2243
81,Canterbury,2010,3/09/10 17:57,172.18985,-43.4667,4.298,5
82,Canterbury,2010,3/09/10 17:57,171.91266,-43.56144,4.486,5
83,Canterbury,2010,3/09/10 17:56,172.20213,-43.598,4.073,5
84,Canterbury,2010,3/09/10 17:55,172.16214,-43.48512,4.293,5.9286
85,Canterbury,2010,3/09/10 17:46,172.21344,-43.57799,4.171,15.1819
86,Canterbury,2010,3/09/10 17:44,172.3916,-43.56511,4.264,9.8504
87,Canterbury,2010,3/09/10 17:43,172.16035,-43.49445,4.071,7.0086
88,Canterbury,2010,3/09/10 17:39,172.19775,-43.6185,4.233,5
89,Canterbury,2010,3/09/10 17:38,171.98218,-43.52419,4.533,5
90,Canterbury,2010,3/09/10 17:38,172.15967,-43.52707,4.514,9.621
91,Canterbury,2010,3/09/10 17:31,171.981,-43.52064,4.397,10.0522
92,Canterbury,2010,3/09/10 17:31,172.42651,-43.61386,4.408,8.4279
93,Canterbury,2010,3/09/10 17:28,172.04362,-43.58209,4.441,12.7174
94,Canterbury,2010,3/09/10 17:28,172.03815,-43.58954,4.118,8.852
95,Canterbury,2010,3/09/10 17:26,172.09457,-43.59563,4.692,7.8645
96,Canterbury,2010,3/09/10 17:24,171.87665,-43.54924,4.266,5
97,Canterbury,2010,3/09/10 17:24,172.26309,-43.63627,4.255,11.4933
98,Canterbury,2010,3/09/10 17:23,172.15027,-43.46167,4.113,6.8935
99,Canterbury,2010,3/09/10 17:22,171.86795,-43.55365,4.575,12
100,Canterbury,2010,3/09/10 17:21,172.09161,-43.61933,4.18,11.0415
101,Canterbury,2010,3/09/10 17:21,171.92424,-43.5533,4.202,7.6136
102,Canterbury,2010,3/09/10 17:20,171.90456,-43.5519,4.19,10.477
103,Canterbury,2010,3/09/10 17:18,172.18248,-43.58258,5.05,5.7404
104,Canterbury,2010,3/09/10 17:18,172.1541,-43.59937,4.728,8.3859
105,Canterbury,2010,3/09/10 17:18,172.37679,-43.59209,4.529,10
106,Canterbury,2010,3/09/10 17:17,172.49609,-43.6358,4.203,18.0402
107,Canterbury,2010,3/09/10 17:13,172.4102,-43.60401,4.301,8.8772
108,Canterbury,2010,3/09/10 17:09,172.45435,-43.61747,4.245,7.0828
109,Canterbury,2010,3/09/10 17:08,172.11301,-43.54909,4.117,9.9906
110,Canterbury,2010,3/09/10 17:06,172.27841,-43.62322,4.699,8.872
111,Canterbury,2010,3/09/10 17:01,172.39214,-43.61933,4.214,9.1659
112,Canterbury,2010,3/09/10 17:01,172.22412,-43.60673,4.315,9.514
113,Canterbury,2010,3/09/10 16:59,172.42267,-43.60178,4.767,7.4454
114,Canterbury,2010,3/09/10 16:59,172.21004,-43.61625,5.504,8.0537
115,Canterbury,2010,3/09/10 16:59,172.20256,-43.60182,4.686,9.1392
116,Canterbury,2010,3/09/10 16:58,172.41252,-43.47221,4.292,5
117,Canterbury,2010,3/09/10 16:57,172.12369,-43.65435,4.522,10.1487
118,Canterbury,2010,3/09/10 16:56,172.20514,-43.6309,4.751,9.5176
119,Canterbury,2010,3/09/10 16:52,172.40279,-43.59917,5.468,7.4831
120,Canterbury,2010,3/09/10 16:51,172.36874,-43.60562,4.343,9.4366
121,Canterbury,2010,3/09/10 16:50,172.15205,-43.52158,4.664,9.2996
122,Canterbury,2010,3/09/10 16:49,172.48775,-43.54868,4.174,20.357
123,Canterbury,2010,3/09/10 16:48,172.32207,-43.60859,4.95,8.559
124,Canterbury,2010,3/09/10 16:48,172.44824,-43.6536,4.324,6.1263
125,Canterbury,2010,3/09/10 16:48,172.19954,-43.61805,4.382,31.4
126,Canterbury,2010,3/09/10 16:48,172.35774,-43.6156,4.429,13.2374
127,Canterbury,2010,3/09/10 16:47,171.90025,-43.64566,4.414,5
128,Canterbury,2010,3/09/10 16:46,172.23813,-43.57198,4.516,5
129,Canterbury,2010,3/09/10 16:46,172.17003,-43.47633,4.817,7.1462
130,Canterbury,2010,3/09/10 16:45,172.40086,-43.60709,4.727,18.6778
131,Canterbury,2010,3/09/10 16:44,172.16286,-43.46124,5.359,6.6817
132,Canterbury,2010,3/09/10 16:44,172.40707,-43.64999,4.491,11.324
133,Canterbury,2010,3/09/10 16:43,172.27443,-43.61766,4.569,12.7419
134,Canterbury,2010,3/09/10 16:43,172.16673,-43.60926,5.144,9.4878
135,Canterbury,2010,3/09/10 16:42,172.41315,-43.60732,4.979,9.3622
136,Canterbury,2010,3/09/10 16:42,172.27835,-43.63268,4.912,8.1763
137,Canterbury,2010,3/09/10 16:42,172.23647,-43.64153,4.945,11.2593
138,Canterbury,2010,3/09/10 16:42,172.37521,-43.66354,4.822,5
139,Canterbury,2010,3/09/10 16:41,172.30362,-43.58586,4.971,9.8851
