,City,Year,Number_of_eq,Average_mag,Max_mag
1,Auckland,2007,1,4.1,4.1
2,Auckland,2010,1,4.255,4.255
3,Auckland,2019,3,4.06830287,4.14820937
4,Canterbury,2005,5,4.3024,4.7
5,Canterbury,2006,3,4.188,4.464
6,Canterbury,2007,8,4.36875,5.5
7,Canterbury,2008,8,4.492625,5
8,Canterbury,2009,5,4.3618,4.609
9,Canterbury,2010,150,4.43678,7.2
10,Canterbury,2011,164,4.376493902,6.2
11,Canterbury,2012,46,4.442235498,5.475451422
12,Canterbury,2013,10,4.324064461,4.715072519
13,Canterbury,2014,7,4.272788822,4.503853721
14,Canterbury,2015,12,4.542962658,6.233120551
15,Canterbury,2016,260,4.516867474,7.820379733
16,Canterbury,2017,42,4.441103758,5.588790533
17,Canterbury,2018,10,4.310746474,4.712806441
18,Canterbury,2019,2,4.440540006,4.614156613
19,Canterbury,2020,6,4.457347778,5.091373184
20,Canterbury,2021,4,4.176842382,4.322297515
21,Wellington,2005,37,4.338675676,5.3
22,Wellington,2006,26,4.264423077,4.739
23,Wellington,2007,17,4.230823529,4.503
24,Wellington,2008,16,4.24775,5
25,Wellington,2009,20,4.24475,4.7
26,Wellington,2010,23,4.35173913,5
27,Wellington,2011,21,4.300047619,5.1
28,Wellington,2012,13,4.416723288,5.010877371
29,Wellington,2013,137,4.521839484,6.493254878
30,Wellington,2014,38,4.402196234,6.2297616
31,Wellington,2015,30,4.354215414,5.691131913
32,Wellington,2016,265,4.473690074,6.024824998
33,Wellington,2017,53,4.395333644,5.414742933
34,Wellington,2018,22,4.293519588,5.210893459
35,Wellington,2019,16,4.303186229,4.882448441
36,Wellington,2020,24,4.539915654,5.84628854
37,Wellington,2021,12,4.29608173,4.810317226
